,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
10092,71,17,31,3844,3831,0,1,A,Barrington village (pt.),Illinois,4541,4542,4545,4555,4567,4574,4577,4568,4547
10093,71,17,31,3883,3831,0,1,A,Barrington Hills village (pt.),Illinois,2168,2169,2172,2180,2188,2196,2206,2199,2187
10094,71,17,31,21696,3831,0,1,A,East Dundee village (pt.),Illinois,0,0,0,0,0,0,0,0,0
10095,71,17,31,35411,3831,0,1,A,Hoffman Estates village (pt.),Illinois,2182,2177,2180,2188,2193,2195,2192,2180,2168
10096,71,17,31,37608,3831,0,1,A,Inverness village (pt.),Illinois,1688,1682,1684,1690,1704,1717,1727,1722,1718
10097,71,17,31,70564,3831,0,1,A,South Barrington village (pt.),Illinois,4444,4448,4459,4498,4535,4574,4683,4746,4786
10098,71,17,31,99990,3831,0,1,F,Balance of Barrington township,Illinois,613,619,620,622,624,626,626,623,620
10100,71,17,31,5573,5586,0,1,A,Berwyn city,Illinois,56657,56653,56681,56740,56786,56776,56608,56218,55748
10102,71,17,31,14026,6561,0,1,A,Chicago Heights city,Illinois,30276,30367,30386,30438,30483,30509,30441,30254,30026
10103,71,17,31,17523,6561,0,1,A,Crete village (pt.),Illinois,0,0,0,0,0,0,0,0,0
10104,71,17,31,26571,6561,0,1,A,Flossmoor village (pt.),Illinois,2205,2203,2206,2209,2212,2212,2209,2195,2177
10105,71,17,31,26710,6561,0,1,A,Ford Heights village,Illinois,2763,2770,2773,2781,2787,2791,2788,2773,2754
10106,71,17,31,30029,6561,0,1,A,Glenwood village (pt.),Illinois,8103,8124,8131,8148,8163,8170,8156,8111,8055
10107,71,17,31,35879,6561,0,1,A,Homewood village (pt.),Illinois,8624,8609,8616,8633,8651,8660,8661,8612,8555
10108,71,17,31,42028,6561,0,1,A,Lansing village (pt.),Illinois,5406,5442,5446,5459,5471,5478,5469,5439,5401
10109,71,17,31,45421,6561,0,1,A,Lynwood village,Illinois,9007,9026,9037,9241,9271,9282,9273,9223,9159
10110,71,17,31,55938,6561,0,1,A,Olympia Fields village (pt.),Illinois,517,481,482,483,485,486,486,484,482
10111,71,17,31,57732,6561,0,1,A,Park Forest village (pt.),Illinois,3336,3336,3338,3343,3347,3349,3340,3318,3292
10112,71,17,31,67769,6561,0,1,A,Sauk Village village (pt.),Illinois,10506,10553,10560,10580,10595,10600,10578,10514,10438
10113,71,17,31,70629,6561,0,1,A,South Chicago Heights village,Illinois,4139,4143,4145,4154,4161,4164,4156,4131,4102
10114,71,17,31,72520,6561,0,1,A,Steger village (pt.),Illinois,4103,4100,4102,4111,4118,4121,4113,4088,4058
10115,71,17,31,99990,6561,0,1,F,Balance of Bloom township,Illinois,1937,1822,1822,1822,1822,1820,1812,1798,1786
10117,71,17,31,6704,7939,0,1,A,Blue Island city (pt.),Illinois,1447,1379,1381,1386,1388,1388,1385,1376,1366
10118,71,17,31,16691,7939,0,1,A,Country Club Hills city (pt.),Illinois,9491,9533,9541,9567,9702,9716,9703,9651,9586
10119,71,17,31,17497,7939,0,1,A,Crestwood village (pt.),Illinois,6477,6478,6483,6499,6513,6521,6514,6479,6438
10120,71,17,31,33383,7939,0,1,A,Harvey city (pt.),Illinois,2031,2033,2032,2030,2027,2022,2012,1997,1979
10121,71,17,31,33695,7939,0,1,A,Hazel Crest village (pt.),Illinois,9390,9299,9307,9330,9350,9361,9346,9294,9229
10122,71,17,31,35879,7939,0,1,A,Homewood village (pt.),Illinois,2177,2175,2178,2183,2188,2191,2191,2179,2164
10123,71,17,31,47007,7939,0,1,A,Markham city (pt.),Illinois,8656,8656,8666,8705,8736,8762,8766,8732,8675
10124,71,17,31,48892,7939,0,1,A,Midlothian village,Illinois,14819,14815,14827,14859,14891,14910,14886,14805,14699
10125,71,17,31,54638,7939,0,1,A,Oak Forest city,Illinois,27962,27954,27979,28060,28126,28165,28125,27976,27792
10126,71,17,31,56640,7939,0,1,A,Orland Park village (pt.),Illinois,26,3,3,3,3,3,3,3,3
10127,71,17,31,61314,7939,0,1,A,Posen village (pt.),Illinois,5536,5531,5534,5546,5556,5561,5551,5518,5477
10128,71,17,31,64616,7939,0,1,A,Robbins village (pt.),Illinois,4042,4042,4049,4074,4101,4128,4144,4142,4133
10129,71,17,31,75484,7939,0,1,A,Tinley Park village (pt.),Illinois,16027,16055,16069,16116,16158,16187,16177,16112,16020
10130,71,17,31,99990,7939,0,1,F,Balance of Bremen township,Illinois,2037,2124,2126,2132,2136,2139,2136,2125,2111
10132,71,17,31,6704,10474,0,1,A,Blue Island city (pt.),Illinois,10522,10519,10529,10556,10571,10575,10550,10483,10401
