06000US3600101000,"Albany city, Albany County, New York"
06000US3600117343,"Colonie town, Albany County, New York"
06000US3600508510,"Bronx borough, Bronx County, New York"
06000US3602902000,"Amherst town, Erie County, New York"
06000US3602911000,"Buffalo city, Erie County, New York"
06000US3602915011,"Cheektowaga town, Erie County, New York"
06000US3602975000,"Tonawanda town, Erie County, New York"
06000US3604710022,"Brooklyn borough, Kings County, New York"
06000US3605530290,"Greece town, Monroe County, New York"
06000US3605563000,"Rochester city, Monroe County, New York"
06000US3605934000,"Hempstead town, Nassau County, New York"
06000US3605953000,"North Hempstead town, Nassau County, New York"
06000US3605956000,"Oyster Bay town, Nassau County, New York"
06000US3606144919,"Manhattan borough, New York County, New York"
06000US3606773000,"Syracuse city, Onondaga County, New York"
06000US3608160323,"Queens borough, Queens County, New York"
06000US3608570915,"Staten Island borough, Richmond County, New York"
06000US3608715968,"Clarkstown town, Rockland County, New York"
06000US3608760510,"Ramapo town, Rockland County, New York"
06000US3609365508,"Schenectady city, Schenectady County, New York"
06000US3610304000,"Babylon town, Suffolk County, New York"
06000US3610310000,"Brookhaven town, Suffolk County, New York"
06000US3610337000,"Huntington town, Suffolk County, New York"
06000US3610338000,"Islip town, Suffolk County, New York"
06000US3610368000,"Smithtown town, Suffolk County, New York"
06000US3611930367,"Greenburgh town, Westchester County, New York"
06000US3611949121,"Mount Vernon city, Westchester County, New York"
06000US3611950617,"New Rochelle city, Westchester County, New York"
06000US3611984000,"Yonkers city, Westchester County, New York"
