06000US3400710000,"Camden city, Camden County, New Jersey"
06000US3400712280,"Cherry Hill township, Camden County, New Jersey"
06000US3400726760,"Gloucester township, Camden County, New Jersey"
06000US3401319390,"East Orange city, Essex County, New Jersey"
06000US3401351000,"Newark city, Essex County, New Jersey"
06000US3401703580,"Bayonne city, Hudson County, New Jersey"
06000US3401736000,"Jersey City city, Hudson County, New Jersey"
06000US3401774630,"Union City city, Hudson County, New Jersey"
06000US3402129310,"Hamilton township, Mercer County, New Jersey"
06000US3402174000,"Trenton city, Mercer County, New Jersey"
06000US3402320230,"Edison township, Middlesex County, New Jersey"
06000US3402354705,"Old Bridge township, Middlesex County, New Jersey"
06000US3402382000,"Woodbridge township, Middlesex County, New Jersey"
06000US3402545990,"Middletown township, Monmouth County, New Jersey"
06000US3402907420,"Brick township, Ocean County, New Jersey"
06000US3402938550,"Lakewood township, Ocean County, New Jersey"
06000US3402973125,"Toms River township, Ocean County, New Jersey"
06000US3403113690,"Clifton city, Passaic County, New Jersey"
06000US3403156550,"Passaic city, Passaic County, New Jersey"
06000US3403157000,"Paterson city, Passaic County, New Jersey"
06000US3403524900,"Franklin township, Somerset County, New Jersey"
06000US3403921000,"Elizabeth city, Union County, New Jersey"
